#    L    TT             EE             BB             TE             PP             TP             EP          
    24   0.959826E+03   0.971556E-02   0.000000E+00   0.158949E+01   0.135272E-06   0.144020E-02  -0.731127E-06
    25   0.974636E+03   0.112266E-01   0.000000E+00   0.165845E+01   0.136013E-06   0.139888E-02  -0.830625E-06
    26   0.989770E+03   0.128780E-01   0.000000E+00   0.171857E+01   0.136668E-06   0.135979E-02  -0.761675E-06
    27   0.100536E+04   0.146835E-01   0.000000E+00   0.176914E+01   0.137204E-06   0.132249E-02  -0.631557E-06
    28   0.102102E+04   0.166717E-01   0.000000E+00   0.181252E+01   0.137672E-06   0.128679E-02  -0.533250E-06
    29   0.103700E+04   0.188486E-01   0.000000E+00   0.184881E+01   0.138028E-06   0.125262E-02  -0.484344E-06
    30   0.105340E+04   0.212123E-01   0.000000E+00   0.187635E+01   0.138328E-06   0.122058E-02  -0.450765E-06
    31   0.106980E+04   0.237719E-01   0.000000E+00   0.190102E+01   0.138538E-06   0.118849E-02  -0.410162E-06
    32   0.108650E+04   0.265505E-01   0.000000E+00   0.192130E+01   0.138697E-06   0.115769E-02  -0.388631E-06
    33   0.110335E+04   0.295447E-01   0.000000E+00   0.193254E+01   0.138778E-06   0.112902E-02  -0.433709E-06
    34   0.112059E+04   0.327478E-01   0.000000E+00   0.193680E+01   0.138814E-06   0.110222E-02  -0.563842E-06
    35   0.113788E+04   0.361766E-01   0.000000E+00   0.193383E+01   0.138792E-06   0.107625E-02  -0.738616E-06
    36   0.115526E+04   0.398508E-01   0.000000E+00   0.191929E+01   0.138718E-06   0.105124E-02  -0.874961E-06
    37   0.117316E+04   0.437620E-01   0.000000E+00   0.189295E+01   0.138593E-06   0.102725E-02  -0.899508E-06
    38   0.119106E+04   0.479150E-01   0.000000E+00   0.186118E+01   0.138439E-06   0.100351E-02  -0.799825E-06
    39   0.120899E+04   0.523096E-01   0.000000E+00   0.181867E+01   0.138224E-06   0.980448E-03  -0.631934E-06
    40   0.122746E+04   0.569416E-01   0.000000E+00   0.176037E+01   0.137986E-06   0.958746E-03  -0.486019E-06
    41   0.124598E+04   0.618151E-01   0.000000E+00   0.169326E+01   0.137709E-06   0.937234E-03  -0.434993E-06
    42   0.126434E+04   0.669735E-01   0.000000E+00   0.161467E+01   0.137398E-06   0.916263E-03  -0.500588E-06
    43   0.128317E+04   0.724255E-01   0.000000E+00   0.152092E+01   0.137048E-06   0.896705E-03  -0.645179E-06
    44   0.130253E+04   0.781551E-01   0.000000E+00   0.141779E+01   0.136692E-06   0.878380E-03  -0.798097E-06
    45   0.132128E+04   0.841571E-01   0.000000E+00   0.130992E+01   0.136283E-06   0.859753E-03  -0.896601E-06
    46   0.134041E+04   0.904390E-01   0.000000E+00   0.119039E+01   0.135864E-06   0.841715E-03  -0.914967E-06
    47   0.136031E+04   0.969806E-01   0.000000E+00   0.105295E+01   0.135416E-06   0.824889E-03  -0.866247E-06
