#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.153141E+04   0.156633E+00   0.476355E-02  -0.505432E+00   0.131781E-06   0.720579E-03  -0.897608E-06
    55   0.155168E+04   0.165674E+00   0.486257E-02  -0.745343E+00   0.131201E-06   0.707018E-03  -0.879436E-06
    56   0.157226E+04   0.175031E+00   0.495956E-02  -0.100157E+01   0.130611E-06   0.693675E-03  -0.832468E-06
    57   0.159371E+04   0.184658E+00   0.505555E-02  -0.127825E+01   0.130013E-06   0.681240E-03  -0.776224E-06
    58   0.161466E+04   0.194546E+00   0.514820E-02  -0.155937E+01   0.129397E-06   0.669114E-03  -0.733001E-06
    59   0.163555E+04   0.204761E+00   0.523788E-02  -0.185365E+01   0.128782E-06   0.657781E-03  -0.721755E-06
    60   0.165746E+04   0.215262E+00   0.532622E-02  -0.217194E+01   0.128152E-06   0.647275E-03  -0.747415E-06
    61   0.167948E+04   0.226008E+00   0.541235E-02  -0.249697E+01   0.127520E-06   0.636463E-03  -0.802812E-06
    62   0.170096E+04   0.237060E+00   0.549431E-02  -0.283016E+01   0.126875E-06   0.625151E-03  -0.875378E-06
    63   0.172302E+04   0.248426E+00   0.557380E-02  -0.318305E+01   0.126234E-06   0.614568E-03  -0.948790E-06
    64   0.174600E+04   0.259989E+00   0.565236E-02  -0.354970E+01   0.125572E-06   0.604837E-03  -0.100547E-05
    65   0.176827E+04   0.271834E+00   0.572648E-02  -0.392135E+01   0.124923E-06   0.594982E-03  -0.103801E-05
    66   0.179087E+04   0.283975E+00   0.579739E-02  -0.431014E+01   0.124254E-06   0.584895E-03  -0.104515E-05
    67   0.181456E+04   0.296339E+00   0.586720E-02  -0.471755E+01   0.123588E-06   0.574966E-03  -0.102967E-05
    68   0.183754E+04   0.308917E+00   0.593279E-02  -0.512765E+01   0.122919E-06   0.565008E-03  -0.999763E-06
    69   0.186059E+04   0.321781E+00   0.599446E-02  -0.555217E+01   0.122246E-06   0.555990E-03  -0.967610E-06
    70   0.188495E+04   0.334880E+00   0.605494E-02  -0.599810E+01   0.121570E-06   0.548195E-03  -0.941745E-06
    71   0.190892E+04   0.348140E+00   0.611200E-02  -0.644655E+01   0.120897E-06   0.540262E-03  -0.927151E-06
    72   0.193239E+04   0.361646E+00   0.616396E-02  -0.690362E+01   0.120218E-06   0.531692E-03  -0.928125E-06
    73   0.195711E+04   0.375399E+00   0.621435E-02  -0.738242E+01   0.119534E-06   0.523464E-03  -0.945050E-06
    74   0.198237E+04   0.389307E+00   0.626295E-02  -0.787108E+01   0.118862E-06   0.516022E-03  -0.973430E-06
    75   0.200651E+04   0.403392E+00   0.630528E-02  -0.836015E+01   0.118172E-06   0.508843E-03  -0.100846E-05
    76   0.203125E+04   0.417723E+00   0.634484E-02  -0.886437E+01   0.117495E-06   0.502085E-03  -0.104679E-05
    77   0.205757E+04   0.432158E+00   0.638400E-02  -0.939005E+01   0.116813E-06   0.495276E-03  -0.108146E-05
    78   0.208283E+04   0.446731E+00   0.641780E-02  -0.991428E+01   0.116135E-06   0.487458E-03  -0.110884E-05
    79   0.210819E+04   0.461522E+00   0.644749E-02  -0.104483E+02   0.115448E-06   0.479563E-03  -0.112829E-05
    80   0.213499E+04   0.476446E+00   0.647609E-02  -0.110041E+02   0.114772E-06   0.472868E-03  -0.113745E-05
    81   0.216121E+04   0.491406E+00   0.650076E-02  -0.115588E+02   0.114089E-06   0.466693E-03  -0.113408E-05
    82   0.218724E+04   0.506545E+00   0.652088E-02  -0.121197E+02   0.113410E-06   0.460512E-03  -0.112117E-05
    83   0.221459E+04   0.521839E+00   0.653921E-02  -0.127025E+02   0.112739E-06   0.454183E-03  -0.110073E-05
    84   0.224184E+04   0.537100E+00   0.655482E-02  -0.132862E+02   0.112060E-06   0.447327E-03  -0.107302E-05
    85   0.226841E+04   0.552482E+00   0.656525E-02  -0.138695E+02   0.111391E-06   0.440558E-03  -0.104342E-05
    86   0.229611E+04   0.568008E+00   0.657336E-02  -0.144724E+02   0.110719E-06   0.434984E-03  -0.101598E-05
    87   0.232484E+04   0.583517E+00   0.658048E-02  -0.150859E+02   0.110053E-06   0.430381E-03  -0.991539E-06
    88   0.235192E+04   0.599013E+00   0.658126E-02  -0.156868E+02   0.109382E-06   0.425183E-03  -0.972034E-06
    89   0.237945E+04   0.614645E+00   0.657869E-02  -0.162997E+02   0.108725E-06   0.419488E-03  -0.961711E-06
    90   0.240921E+04   0.630224E+00   0.657660E-02  -0.169366E+02   0.108057E-06   0.413852E-03  -0.960188E-06
    91   0.243778E+04   0.645760E+00   0.657029E-02  -0.175618E+02   0.107407E-06   0.408193E-03  -0.967850E-06
    92   0.246582E+04   0.661358E+00   0.655803E-02  -0.181892E+02   0.106745E-06   0.403021E-03  -0.985256E-06
    93   0.249576E+04   0.676923E+00   0.654576E-02  -0.188380E+02   0.106090E-06   0.398750E-03  -0.100992E-05
    94   0.252538E+04   0.692354E+00   0.653118E-02  -0.194803E+02   0.105446E-06   0.394276E-03  -0.103803E-05
    95   0.255428E+04   0.707791E+00   0.651098E-02  -0.201213E+02   0.104794E-06   0.389086E-03  -0.106809E-05
    96   0.258448E+04   0.723223E+00   0.648904E-02  -0.207788E+02   0.104153E-06   0.383862E-03  -0.109893E-05
    97   0.261510E+04   0.738406E+00   0.646673E-02  -0.214341E+02   0.103513E-06   0.378906E-03  -0.112633E-05
    98   0.264472E+04   0.753541E+00   0.643887E-02  -0.220834E+02   0.102879E-06   0.374233E-03  -0.115012E-05
    99   0.267528E+04   0.768648E+00   0.640852E-02  -0.227448E+02   0.102240E-06   0.370116E-03  -0.117053E-05
   100   0.270733E+04   0.783588E+00   0.637902E-02  -0.234155E+02   0.101620E-06   0.366311E-03  -0.118602E-05
   101   0.273713E+04   0.798255E+00   0.634326E-02  -0.240628E+02   0.100985E-06   0.361654E-03  -0.119486E-05
   102   0.276786E+04   0.812902E+00   0.630489E-02  -0.247215E+02   0.100362E-06   0.357077E-03  -0.120181E-05
   103   0.280029E+04   0.827366E+00   0.626733E-02  -0.253917E+02   0.997458E-07   0.353000E-03  -0.120715E-05
   104   0.283140E+04   0.841537E+00   0.622587E-02  -0.260442E+02   0.991274E-07   0.348892E-03  -0.121059E-05
   105   0.286224E+04   0.855590E+00   0.618001E-02  -0.266942E+02   0.985194E-07   0.344841E-03  -0.121532E-05
   106   0.289506E+04   0.869453E+00   0.613490E-02  -0.273596E+02   0.979109E-07   0.341074E-03  -0.122150E-05
   107   0.292754E+04   0.883001E+00   0.608857E-02  -0.280141E+02   0.973101E-07   0.337210E-03  -0.122773E-05
   108   0.295878E+04   0.896324E+00   0.603624E-02  -0.286547E+02   0.967070E-07   0.333120E-03  -0.123471E-05
   109   0.299127E+04   0.909512E+00   0.598311E-02  -0.293042E+02   0.961170E-07   0.329391E-03  -0.124276E-05
   110   0.302483E+04   0.922245E+00   0.593170E-02  -0.299530E+02   0.955188E-07   0.325956E-03  -0.124811E-05
   111   0.305699E+04   0.934733E+00   0.587511E-02  -0.305847E+02   0.949409E-07   0.322309E-03  -0.125140E-05
   112   0.308972E+04   0.947034E+00   0.581641E-02  -0.312169E+02   0.943484E-07   0.318647E-03  -0.125201E-05
   113   0.312371E+04   0.958934E+00   0.575900E-02  -0.318518E+02   0.937669E-07   0.315278E-03  -0.124801E-05
